date,applovin_ios_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,2013.508482
2024-11-11,24144.724
2024-11-18,31526.458999000002
2024-11-25,46561.846323
2024-12-02,68374.90027499999
2024-12-09,86838.718193
2024-12-16,88803.112834
2024-12-23,78900.84576699999
2024-12-30,80041.971903
2025-01-06,66880.292133
2025-01-13,54274.204055
2025-01-20,52414.839126
2025-01-27,30239.285556000003
2025-02-03,28048.658543999998
2025-02-10,28026.260018
2025-02-17,31580.811106
2025-02-24,35055.032973
2025-03-03,32786.614392999996
2025-03-10,29911.826084
2025-03-17,28108.187152
2025-03-24,28097.032194
2025-03-31,30608.157413
2025-04-07,41160.741674
2025-04-14,56181.664637
2025-04-21,56179.913639
2025-04-28,40847.693983000005
2025-05-05,37833.302155
2025-05-12,37902.842061
2025-05-19,34896.069998
2025-05-26,32268.977405999998
2025-06-02,24460.446342
2025-06-09,17677.953568
2025-06-16,17576.1898
2025-06-23,17444.377403
2025-06-30,14866.498448
2025-07-07,16159.402044999999
2025-07-14,18272.803615
2025-07-21,22112.814485
2025-07-28,22440.817281
2025-08-04,17724.01034
2025-08-11,16959.510485
2025-08-18,12495.81744
2025-08-25,10519.852115
2025-09-01,10554.502941
2025-09-08,10589.584351
2025-09-15,20963.289098
2025-09-22,20983.111753
2025-09-29,20467.393655
2025-10-06,20375.115823
2025-10-13,20393.744566
2025-10-20,24302.379168
2025-10-27,29113.668139
2025-11-03,31260.786628
2025-11-10,29573.854844
2025-11-17,30901.696513
2025-11-24,37089.803727
2025-12-01,38492.507509999996
2025-12-08,38922.797267
2025-12-15,47649.640898
2025-12-22,56125.719896
2025-12-29,56071.175344
2026-01-05,52420.446932
2026-01-12,21825.481510999998
2026-01-19,42502.413968
2026-01-26,45235.741733999996
2026-02-02,58741.362702
2026-02-09,58890.606115
2026-02-16,58207.109777000005
2026-02-23,55407.286321
2026-03-02,63226.633805
2026-03-09,67376.204934
2026-03-16,72292.62281999999
2026-03-23,72391.533757
2026-03-30,76202.615255
