date,ctv_spend
2024-07-01,1439.12
2024-07-08,10474.65
2024-07-15,10599.960000000001
2024-07-22,15606.14
2024-07-29,19868.42
2024-08-05,20520.18
2024-08-12,25754.85
2024-08-19,25172.379999999997
2024-08-26,39690.64
2024-09-02,40320.880000000005
2024-09-09,57493.07
2024-09-16,55340.520000000004
2024-09-23,55132.04
2024-09-30,55019.24
2024-10-07,55368.82
2024-10-14,56314.14
2024-10-21,66365.33
2024-10-28,67256.68
2024-11-04,60833.01
2024-11-11,65853.13
2024-11-18,65589.42
2024-11-25,66057.69
2024-12-02,66157.96
2024-12-09,62955.91
2024-12-16,45603.979999999996
2024-12-23,45119.35
2024-12-30,44992.72
2025-01-06,45537.85
2025-01-13,60043.09
2025-01-20,75881.25
2025-01-27,74940.74
2025-02-03,74249.47
2025-02-10,52282.052899999995
2025-02-17,40626.035574
2025-02-24,40627.053767
2025-03-03,41863.249303000004
2025-03-10,40734.476997
2025-03-17,41169.869233
2025-03-24,41518.479388
2025-03-31,42728.976595
2025-04-07,41127.209592
2025-04-14,41244.284
2025-04-21,41271.372468
2025-04-28,42299.469189
2025-05-05,42189.778978
2025-05-12,42345.584711
2025-05-19,42563.84095
2025-05-26,37664.025648
2025-06-02,52764.706687
2025-06-09,52500.217564
2025-06-16,53060.526013
2025-06-23,53448.947484000004
2025-06-30,51088.312354
2025-07-07,52124.336747
2025-07-14,50666.196066
2025-07-21,48073.558905
2025-07-28,52490.528525
2025-08-04,50797.519178
2025-08-11,61887.31413
2025-08-18,63459.064566
2025-08-25,70652.246894
2025-09-01,57051.658651
2025-09-08,61566.654522
2025-09-15,62070.578316
2025-09-22,62654.288481
2025-09-29,59403.700271
2025-10-06,59998.323491999996
2025-10-13,59915.440947
2025-10-20,66757.194818
2025-10-27,61581.256178999996
2025-11-03,61996.10627800001
2025-11-10,60403.141717
2025-11-17,76049.25376600001
2025-11-24,85727.447066
2025-12-01,84836.196797
2025-12-08,77625.095363
2025-12-15,75668.923394
2025-12-22,83374.57504699999
2025-12-29,77836.06612
2026-01-05,80754.450306
2026-01-12,82930.346762
2026-01-19,72675.659106
2026-01-26,71787.280471
2026-02-02,72039.959873
2026-02-09,71135.774892
2026-02-16,70591.430618
2026-02-23,84168.304292
2026-03-02,81903.100258
2026-03-09,82077.330786
2026-03-16,84897.099095
2026-03-23,95641.644904
2026-03-30,95965.244548
