date,dsp_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,0.0
2024-12-23,0.0
2024-12-30,0.0
2025-01-06,0.0
2025-01-13,0.0
2025-01-20,0.0
2025-01-27,0.0
2025-02-03,0.0
2025-02-10,0.0
2025-02-17,0.0
2025-02-24,0.0
2025-03-03,0.0
2025-03-10,0.0
2025-03-17,0.0
2025-03-24,0.0
2025-03-31,0.0
2025-04-07,0.0
2025-04-14,0.0
2025-04-21,0.0
2025-04-28,0.0
2025-05-05,360.0
2025-05-12,390.0
2025-05-19,270.0
2025-05-26,540.0
2025-06-02,2100.0
2025-06-09,2600.0
2025-06-16,3100.0
2025-06-23,2100.0
2025-06-30,2250.0
2025-07-07,3500.0
2025-07-14,5647.0
2025-07-21,4876.0
2025-07-28,3015.0783688
2025-08-04,3064.5640008
2025-08-11,2637.5817084
2025-08-18,6970.7795516
2025-08-25,11415.3219204
2025-09-01,12033.99986
2025-09-08,15961.659345200002
2025-09-15,12952.6558872
2025-09-22,14311.3808908
2025-09-29,8499.7706758
2025-10-06,8968.0709996
2025-10-13,11734.179049999999
2025-10-20,12076.8364542
2025-10-27,13982.4061679
2025-11-03,13550.0109385
2025-11-10,14808.831901900001
2025-11-17,15408.7908402
2025-11-24,20087.2683093
2025-12-01,19386.8059052
2025-12-08,12713.9575989
2025-12-15,18373.7341126
2025-12-22,21241.687919
2025-12-29,12526.1521543
2026-01-05,10589.5666823
2026-01-12,15507.9970888
2026-01-19,15291.9993736
2026-01-26,15507.4010313
2026-02-02,23248.7049368
2026-02-09,27463.4396234
2026-02-16,30265.5093924
2026-02-23,37890.1176816
2026-03-02,46286.3035873
2026-03-09,41969.4420752
2026-03-16,59173.005455599996
2026-03-23,63544.2175354
2026-03-30,49492.8165072
