date,google_web_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,1257.006632
2024-12-16,55901.630321000004
2024-12-23,60996.921256999995
2024-12-30,57899.480956
2025-01-06,85176.076031
2025-01-13,75210.151023
2025-01-20,68115.121076
2025-01-27,81066.937078
2025-02-03,81560.606142
2025-02-10,64257.527869
2025-02-17,79417.814125
2025-02-24,91598.408949
2025-03-03,97472.01712199999
2025-03-10,102513.077183
2025-03-17,106436.459469
2025-03-24,104537.77166
2025-03-31,96743.220038
2025-04-07,107450.25333
2025-04-14,89959.258445
2025-04-21,102696.72845
2025-04-28,93204.358905
2025-05-05,120223.875467
2025-05-12,104819.503467
2025-05-19,93910.805005
2025-05-26,86279.803889
2025-06-02,136282.442534
2025-06-09,107323.05151399999
2025-06-16,123639.287241
2025-06-23,94724.72072099999
2025-06-30,105891.89826100001
2025-07-07,127400.656227
2025-07-14,88022.434947
2025-07-21,108642.838805
2025-07-28,124910.697565
2025-08-04,89706.170685
2025-08-11,82605.479696
2025-08-18,91564.106894
2025-08-25,68376.62022099999
2025-09-01,51442.948879
2025-09-08,56767.401414
2025-09-15,60977.24575
2025-09-22,71008.681139
2025-09-29,75290.51527999999
2025-10-06,84448.949481
2025-10-13,78733.077137
2025-10-20,69323.716761
2025-10-27,71799.634183
2025-11-03,66624.17723
2025-11-10,82063.675967
2025-11-17,61941.423545
2025-11-24,73615.854158
2025-12-01,69069.45372
2025-12-08,81873.590361
2025-12-15,69542.034202
2025-12-22,73578.40825000001
2025-12-29,62425.808303
2026-01-05,80207.345199
2026-01-12,68629.878374
2026-01-19,49119.76738
2026-01-26,56238.924134999994
2026-02-02,68064.909589
2026-02-09,70578.334074
2026-02-16,68847.719224
2026-02-23,85472.268859
2026-03-02,117947.721314
2026-03-09,106517.654895
2026-03-16,95393.09217799999
2026-03-23,98802.310609
2026-03-30,85057.766158
