date,meta_web_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,116.85
2024-09-16,137760.56
2024-09-23,240596.22
2024-09-30,243106.69
2024-10-07,259771.04
2024-10-14,307990.44
2024-10-21,338309.87
2024-10-28,281722.0
2024-11-04,268166.27
2024-11-11,251312.16
2024-11-18,254078.95
2024-11-25,240182.06
2024-12-02,234951.29
2024-12-09,189189.84
2024-12-16,169982.23
2024-12-23,217934.32
2024-12-30,149359.79
2025-01-06,156732.59
2025-01-13,252787.11000000002
2025-01-20,212042.51
2025-01-27,222337.13
2025-02-03,246310.27
2025-02-10,269286.87
2025-02-17,258801.45
2025-02-24,299070.57
2025-03-03,325767.82999999996
2025-03-10,310364.49
2025-03-17,230904.08
2025-03-24,267617.27
2025-03-31,221366.06
2025-04-07,308766.11
2025-04-14,281642.56
2025-04-21,316473.42
2025-04-28,300203.39
2025-05-05,317603.66
2025-05-12,190434.13
2025-05-19,226809.78999999998
2025-05-26,256079.17
2025-06-02,289171.3
2025-06-09,356694.64
2025-06-16,331860.49
2025-06-23,320402.07
2025-06-30,391463.61
2025-07-07,385162.04
2025-07-14,505507.59
2025-07-21,525686.17
2025-07-28,595462.2
2025-08-04,535262.25
2025-08-11,560130.63
2025-08-18,406418.71
2025-08-25,560932.7
2025-09-01,523739.93
2025-09-08,435773.04
2025-09-15,430260.7
2025-09-22,453446.39
2025-09-29,475231.92
2025-10-06,471841.26
2025-10-13,504221.67000000004
2025-10-20,513817.06
2025-10-27,469900.53
2025-11-03,503459.85
2025-11-10,492988.29
2025-11-17,499640.35
2025-11-24,442193.57
2025-12-01,424713.83
2025-12-08,421901.2
2025-12-15,443001.77
2025-12-22,426588.19
2025-12-29,395312.65
2026-01-05,400054.35
2026-01-12,318382.78
2026-01-19,344880.71
2026-01-26,381882.72
2026-02-02,431746.1
2026-02-09,448267.98
2026-02-16,437728.95
2026-02-23,563355.21
2026-03-02,628438.5
2026-03-09,699344.23
2026-03-16,697088.02
2026-03-23,588370.8099999999
2026-03-30,635026.44
