date,others_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,0.0
2024-12-23,0.0
2024-12-30,0.0
2025-01-06,0.0
2025-01-13,0.0
2025-01-20,0.0
2025-01-27,0.0
2025-02-03,0.0
2025-02-10,0.0
2025-02-17,0.0
2025-02-24,0.0
2025-03-03,0.0
2025-03-10,0.0
2025-03-17,0.0
2025-03-24,0.0
2025-03-31,0.0
2025-04-07,2260.984276
2025-04-14,10878.133759
2025-04-21,1556.816029
2025-04-28,1692.308833
2025-05-05,990.3846560000001
2025-05-12,0.020385
2025-05-19,0.0
2025-05-26,0.0
2025-06-02,4407.714478
2025-06-09,10839.744238
2025-06-16,1237.30108
2025-06-23,0.0
2025-06-30,0.0
2025-07-07,0.0
2025-07-14,0.0
2025-07-21,0.0
2025-07-28,0.0
2025-08-04,0.0
2025-08-11,0.0
2025-08-18,0.0
2025-08-25,0.0
2025-09-01,0.0
2025-09-08,0.0
2025-09-15,0.0
2025-09-22,0.0
2025-09-29,0.0
2025-10-06,0.0
2025-10-13,0.0
2025-10-20,0.0
2025-10-27,0.0
2025-11-03,0.0
2025-11-10,0.0
2025-11-17,0.0
2025-11-24,0.0
2025-12-01,0.0
2025-12-08,0.0
2025-12-15,0.0
2025-12-22,0.0
2025-12-29,0.0
2026-01-05,0.0
2026-01-12,0.0
2026-01-19,0.0
2026-01-26,0.0
2026-02-02,0.0
2026-02-09,0.0
2026-02-16,0.0
2026-02-23,0.0
2026-03-02,0.0
2026-03-09,0.0
2026-03-16,0.0
2026-03-23,0.0
2026-03-30,0.0
