date,actual,predicted_mean,predicted_hdi_lo,predicted_hdi_hi
2026-01-05,3894237.403314303,2886863.012205824,2612001.3316034945,3174188.973670322
2026-01-12,3571816.984877185,2817660.710397526,2525478.098565769,3102616.868177482
2026-01-19,3630261.744988974,2790235.37349964,2504288.4319702173,3118458.603302142
2026-01-26,3375278.3177659777,2744009.7057305262,2435115.0425250106,3063506.7210486657
2026-02-02,3869776.646989061,2897272.548040016,2578098.5254852325,3176902.122459387
2026-02-09,3602700.525997656,3013627.3913060855,2672898.6862959415,3333745.3883743514
2026-02-16,3334905.851100583,3006127.6537963725,2615230.789601694,3386437.5333093237
2026-02-23,3909551.130516049,3378268.7065262254,2828674.4630355714,3878106.30968145
2026-03-02,4852344.034099876,3966231.0215505515,3190937.5768267117,4687336.6714017205
2026-03-09,4521873.698514302,4131507.3079283717,3286384.8518834785,4915194.197439329
2026-03-16,4425643.048014345,4278220.349967248,3249417.924241343,5257750.199569942
2026-03-23,4083299.7525424752,4349788.271063805,3150997.8091216246,5475748.910089985
2026-03-30,4489338.021347384,4287114.721492833,3187603.3666671016,5464902.18939477
