date,tiktok_android_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,5416.19
2024-12-23,12603.06
2024-12-30,13605.81
2025-01-06,14271.35
2025-01-13,19618.13
2025-01-20,18673.82
2025-01-27,20965.79
2025-02-03,21002.13
2025-02-10,20997.92
2025-02-17,20806.14
2025-02-24,23021.77
2025-03-03,26835.63
2025-03-10,39630.71
2025-03-17,45511.58
2025-03-24,45491.95
2025-03-31,45489.84
2025-04-07,47101.61
2025-04-14,48338.85
2025-04-21,49676.159999999996
2025-04-28,49565.88
2025-05-05,43269.88
2025-05-12,39426.31
2025-05-19,39443.49
2025-05-26,40162.59
2025-06-02,39412.68
2025-06-09,37719.39
2025-06-16,33480.89
2025-06-23,27600.19
2025-06-30,27763.65
2025-07-07,26194.15
2025-07-14,47713.37
2025-07-21,42622.13
2025-07-28,38354.0
2025-08-04,20136.579999999998
2025-08-11,39530.770000000004
2025-08-18,26644.6
2025-08-25,21224.6
2025-09-01,18277.84
2025-09-08,17498.22
2025-09-15,19466.06
2025-09-22,21746.13
2025-09-29,24057.54
2025-10-06,31539.8
2025-10-13,27550.65
2025-10-20,30816.46
2025-10-27,32336.25
2025-11-03,34164.61
2025-11-10,36569.84
2025-11-17,36722.26
2025-11-24,34052.68
2025-12-01,24733.02
2025-12-08,44165.0
2025-12-15,49115.57
2025-12-22,45099.229999999996
2025-12-29,28812.25
2026-01-05,31001.57
2026-01-12,37546.5
2026-01-19,48028.27
2026-01-26,46755.41
2026-02-02,31041.35
2026-02-09,25803.23
2026-02-16,21222.27
2026-02-23,21243.94
2026-03-02,34346.840000000004
2026-03-09,35312.630000000005
2026-03-16,39335.72
2026-03-23,42036.05
2026-03-30,30697.190000000002
