date,tiktok_ios_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,0.0
2024-12-23,0.0
2024-12-30,0.0
2025-01-06,10859.97
2025-01-13,21372.32
2025-01-20,20378.34
2025-01-27,22648.59
2025-02-03,23096.02
2025-02-10,25865.98
2025-02-17,27778.44
2025-02-24,30503.199999999997
2025-03-03,33258.01
2025-03-10,47739.81
2025-03-17,56276.1
2025-03-24,60135.630000000005
2025-03-31,62453.520000000004
2025-04-07,66827.73
2025-04-14,73220.44
2025-04-21,82530.7
2025-04-28,84235.27
2025-05-05,87773.52
2025-05-12,87369.14
2025-05-19,83176.84
2025-05-26,79058.23
2025-06-02,78943.87
2025-06-09,77703.9
2025-06-16,69250.95
2025-06-23,57279.28
2025-06-30,54606.21
2025-07-07,54316.14
2025-07-14,70609.03
2025-07-21,87401.54000000001
2025-07-28,88633.54
2025-08-04,50339.03
2025-08-11,52900.58
2025-08-18,51752.5
2025-08-25,46636.46
2025-09-01,41894.74
2025-09-08,46587.24
2025-09-15,41974.29
2025-09-22,44840.77
2025-09-29,56612.3
2025-10-06,78369.65
2025-10-13,84218.83
2025-10-20,87459.96
2025-10-27,85678.38
2025-11-03,88898.55
2025-11-10,88898.07
2025-11-17,89305.13
2025-11-24,99357.35
2025-12-01,87685.34999999999
2025-12-08,84164.38
2025-12-15,100392.91
2025-12-22,107088.91
2025-12-29,92688.63
2026-01-05,96035.57
2026-01-12,116241.0
2026-01-19,132272.5
2026-01-26,150431.75
2026-02-02,143577.07
2026-02-09,185805.59
2026-02-16,189590.99
2026-02-23,197189.07
2026-03-02,228451.59
2026-03-09,223054.96
2026-03-16,226450.86
2026-03-23,236028.63
2026-03-30,231223.98
